review_id,reviewer,stars,date,text
Ci9DQUlRQUNvZENodHljRjlvT21WUE1tZHVjbGRvVWpGNVNUbExWMlZsVUhGZlYyYxAB,Leiza Shusma,5 stars,2025-11-03,"Service: Dine in
Price per person: $10–20
Recommended dishes: Chilli
Reservation: Reservations not required
Recommendation for vegetarians: Highly recommend
Parking space: Plenty of parking
Parking options: Free parking lot"
Ci9DQUlRQUNvZENodHljRjlvT2pOdUxVTXpObTFyUW1WalNFTk1OVVptTjBwNVkwRRAB,Jack Starr,5 stars,2025-11-03,"Delicious food, peaceful ambiance. Price per person $20–30 Food: 5 Service: 5 Noise level Quiet, easy to talk Wait time No wait Seating type Indoor dining area

Price per person: $20–30
Food: 5
Service: 5
Noise level: Quiet, easy to talk
Wait time: No wait
Seating type: Indoor dining area"
Ci9DQUlRQUNvZENodHljRjlvT2pOeFQyeE9jRzlvYkdkTVpYcE1iMUozU2s5RVZVRRAB,Gladys Esturban,5 stars,2025-10-27,"I dont remember much but the food we got was very good Meal type Dinner

Meal type: Dinner"
Ci9DQUlRQUNvZENodHljRjlvT2pObWRYTjRTSGRsWW5aVFJUTnhRM2xNUTJZNFIwRRAB,Jose Rivera,5 stars,a month ago,"Exquisite menu without words here the tasting is like a delicacy of the gods Service Dine in Meal type Lunch Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Special events Themed nights

Service: Dine in
Meal type: Lunch
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Special events: Themed nights"
Ci9DQUlRQUNvZENodHljRjlvT2xSTFVsUldiREpJV1d4ZlpWcDFlamxrWkdGeVJrRRAB,Sirjana Shrestha,5 stars,a month ago,"Service: Dine in
Food: 5"
Ci9DQUlRQUNvZENodHljRjlvT25wT2NuQm1PWHBNVkZCaldteFZabWxYTVVKR1ZHYxAB,Sarah Garrison-Taylor,5 stars,a month ago,"Great staff! Great food! Lovely atmosphere! Looking forward to the next time I am in the area so I can eat here again. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT21aV2VXaExRV1phU25GNldHZFZTSGxWYkRSVmIyYxAB,J B Eats,5 stars,2025-09-01,"Delicious authentic Indian food here in LA. I definitely recommend if you’re in the area looking for some delicious flavors ! This food is so tasty, enjoyed the chicken masala medium with a garlic naan wich was so good . Side of rice as well. Strawberry smoothy which was great to cool down with. When in the area stop by and check it out ! Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2xkM1RreGZaV2g2YTJSTVJ6QnBTMEpHTmtKVWRVRRAB,Jim Bastoli,5 stars,2025-09-01,"Food was excellent but service could be better Meal type Dinner Price per person $20–30 Food: 5 Service: 2 Atmosphere: 4 Noise level Quiet, easy to talk Group size 3-4 people

Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 2
Atmosphere: 4
Noise level: Quiet, easy to talk
Group size: 3-4 people"
Ci9DQUlRQUNvZENodHljRjlvT20xRE5WbHhXVnB2V2pOaVR6TkxWWE5CYzJKV1FWRRAB,P B,3 stars,2025-09-01,"The first time I came, pre Covid-19, it was Indian owned, everyone was very welcoming and friendly, and the food tasted authenticly Indian.  It was so great and flavorful!

This time, it was very clearly not Indian owned.  The food and the service was alright but, this was my second time here and the feel and experience was completely different.  Nothing like before!

If I do return, it would be solely based on location and convenience. Service Dine in Price per person $10–20 Food: 3 Service: 3 Atmosphere: 3 Wait time No wait

Service: Dine in
Price per person: $10–20
Food: 3
Service: 3
Atmosphere: 3
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT20xaExYaHNiWEZzUlhwa1ZsOXZWblJwZW5WYWJHYxAB,Scary Eric,5 stars,2025-09-01,"Discovered this fine establishment on google maps  while looking for directions.   Ordered the veggie noodle soup and it was amazing. I’ve never had Himalayan noodles before. The man was fresh and garlicky and went perfectly with the soup. Very charming owners and cute little restaurant. I’ll be back. A lot. . Service Dine in Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Garlic Naan Wait time No wait Recommendation for vegetarians Highly recommend Vegetarian offerings Large vegetarian selection, Vegetarian menu or section Vegetarian options Delicious! Parking space Plenty of parking Kid-friendliness Yes to kids just order no spice

Service: Dine in
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Garlic Naan
Wait time: No wait
Recommendation for vegetarians: Highly recommend
Vegetarian offerings: Large vegetarian selection, Vegetarian menu or section
Vegetarian options: Delicious!
Parking space: Plenty of parking
Kid-friendliness: Yes to kids just order no spice"
Ci9DQUlRQUNvZENodHljRjlvT25wQ1ZWY3pSWFpIUTJ4YVNWSmFZMGhuUlZWME9FRRAB,Harshit Hegde,1 star,2025-09-01,"The food was good and fresh, but the service was disappointing. When we asked for a box to pack our leftovers, we were only given aluminum foil instead. This made us feel disrespected, and we had to leave the food behind. Service Dine in Meal type Dinner Price per person $50–100 Food: 5 Service: 1 Atmosphere: 3

Service: Dine in
Meal type: Dinner
Price per person: $50–100
Food: 5
Service: 1
Atmosphere: 3"
Ci9DQUlRQUNvZENodHljRjlvT25abmNrNDJlR0ZVVkVGellUQk5UbFZ5ZEMwMlluYxAB,Sam M,5 stars,2025-09-01,"Service: Dine in
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 4
Reservation: Reservations not required
Parking space: Difficult to find parking"
Ci9DQUlRQUNvZENodHljRjlvT20xdllWaEhlbWRZWDBOQ1dYcEhkVUV6VXpGWlMyYxAB,April Whit,5 stars,2025-09-01,"Amazing Chana Marsala and nann! Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5

Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT205blIzUkdTVUZxVkZCclgxODRZbmhzUjJSUFFuYxAB,Manohara Holding,5 stars,2025-08-01,
Ci9DQUlRQUNvZENodHljRjlvT21kd1owMVZPVU0wZFd0MmFWZGhNVTVVUlhSRVNtYxAB,Rakshya Pokhrel,2 stars,2025-08-01,"Meal type: Dinner
Price per person: $10–20
Food: 2
Service: 3
Atmosphere: 3
Noise level: Quiet, easy to talk"
Ci9DQUlRQUNvZENodHljRjlvT2taMlpFeFBZMnhrU25RMlVtTTVjREJ2YlhWM1YzYxAB,Vardaan Tangbe Lama,5 stars,2025-08-01,"Hands down the best Nepali & Indian restaurant in LA!
I absolutely loved the authentic flavors and delicious food. The warmth and hospitality of the owners made the experience even better-it truly felt like home. Highly recommended for anyone craving real Nepali and Indian taste.

Thank you so much! Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Garlic Naan, Great Service, Chicken Biryani, Chicken Thali Group size Suitable for all group sizes Wait time No wait Recommendation for vegetarians Highly recommend Parking space Plenty of parking Parking options Free parking lot Kid-friendliness Yes! Wheelchair accessibility Yes!

Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Garlic Naan, Great Service, Chicken Biryani, Chicken Thali
Group size: Suitable for all group sizes
Wait time: No wait
Recommendation for vegetarians: Highly recommend
Parking space: Plenty of parking
Parking options: Free parking lot
Kid-friendliness: Yes!
Wheelchair accessibility: Yes!"
Ci9DQUlRQUNvZENodHljRjlvT2tKWFpIRlVUMHBtYVhCZlZ6VTFjMVYyZEhkak5XYxAB,Sharma Konakanchi,4 stars,2025-08-01,"Price per person: $50–100
Food: 4
Service: 3
Atmosphere: 4"
Ci9DQUlRQUNvZENodHljRjlvT21KV01XSXplVEpmUjJKMFkwRXlka2h0ZWpJMFRFRRAB,Xiomara,5 stars,2025-08-01,Atmosphere: 5
Ci9DQUlRQUNvZENodHljRjlvT2s5VFNuQXhRMXB6ZG0xWVowcDBTazR0ZEVSMVZtYxAB,Noel Antonio Reyes montoya,5 stars,2025-08-01,Price per person: $10–20
Ci9DQUlRQUNvZENodHljRjlvT25FeVdUbGpUeTFwT0RkNmRrWkNlRXRYWVdSRmEwRRAB,Daedy Cruz,5 stars,2025-07-01,"Good food, Good people Food: 5 Service: 5 Atmosphere: 4

Food: 5
Service: 5
Atmosphere: 4"
Ci9DQUlRQUNvZENodHljRjlvT21WTE1rZDJUazVhZWpkTVJEZzBWbFpVUVZGVmEzYxAB,Nirmala Adh,5 stars,2025-07-01,"Loved not only the food but also the service! I had to come early & wait for my family, they were very accommodating & made sure I am comfortable. Food (everything I ordered) was tasty, good portion (one item fills you up), reasonably price, prepared pretty quick (within 15 min, meal was served for all 5 people). They went above & beyond to fill our need & served every request with grace. They even offered complimentary rice & salad. Very appreciative of the chef as well as the server. Service Dine in Meal type Dinner Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Reservation Reservations not required Vegetarian offerings Vegetarian menu or section Parking space Plenty of parking Parking options Free parking lot Kid-friendliness Kid friendly

Service: Dine in
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Reservation: Reservations not required
Vegetarian offerings: Vegetarian menu or section
Parking space: Plenty of parking
Parking options: Free parking lot
Kid-friendliness: Kid friendly"
