review_id,reviewer,stars,date,text
Ci9DQUlRQUNvZENodHljRjlvT25Wc1IxODFXWEpuVmxKa2JqSXhlblZ4WjFOdU5rRRAB,Steve Hong,5 stars,a week ago,"Food: 5
Service: 5
Atmosphere: 4"
Ci9DQUlRQUNvZENodHljRjlvT2tOR2RrWk9kRUZ1VWtaVWRUSXhSR05TU0dWbmJrRRAB,Fang Phattha,5 stars,a week ago,"I didn't realize there is a YGF near USC campus until my Chinese friend told me about it. The location is a few stops on Dash F. The food is as good as other YGF. It's priced by lbs. The stock is full when I went. They always restock the ingredients. The restaurant is a bit small but it's packed with seatings. It's self-service. Very delicious! Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Wait time No wait

Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT2pCV1oyZ3RUM05yU3pGNFpERjBhRGd4VVZKRlFXYxAB,Nathaniel,5 stars,2025-11-04,"They are always attentive and kind here. My favorite spot to eat. So delicious! Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Noise level Loud, but you can still talk Group size 2 people, 3-4 people Wait time Up to 10 min Recommendation for vegetarians Highly recommend Parking space Somewhat difficult to find parking Parking options Free parking lot

Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Noise level: Loud, but you can still talk
Group size: 2 people, 3-4 people
Wait time: Up to 10 min
Recommendation for vegetarians: Highly recommend
Parking space: Somewhat difficult to find parking
Parking options: Free parking lot"
Ci9DQUlRQUNvZENodHljRjlvT25CV2VqWXRlWEp3WWxrMlVXNDVibFpMZGtGTmJIYxAB,Alejandro Flores,5 stars,2025-11-04,"For me, it was one of the most delicious meals I've ever had. Afterwards, I took my family to eat it and they loved it."
Ci9DQUlRQUNvZENodHljRjlvT20xQllscHdlbTU0TWt0YVVHRk5XVmRvTFRZd2RXYxAB,Joelle Barton,5 stars,2025-11-04,"Great Malatang and even better service! The staff was so attentive and made sure we had everything we needed. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2pBeU1EaEljSGx3WDFWUVpURXRUR1J0ZDNCbFVIYxAB,Hyuneum Jeon,5 stars,2025-11-04,"Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2psYVZpMDRlVTVWZUVocVVWOUVjbGRhY2taVlNrRRAB,Manuel Rosas (El Profe),5 stars,2025-10-28,"What a find!!! This place is amazing!  It's a per pound broth or hot pot restaurant.  It gives Korea vibes environment, street food vibe.

You don't order!

You pick up a clear bowl and metal tongs:
Full your bowl with all the veggies, herbs, and meats of your liking.
They have more than 50 items to select from.

3 different noodle types, mushrooms. . .

Then you take your bowl to weight in (15.99/ Lb.) select a broth type (4 types).

I suggest to choose the beef broth, medium spicy.

After you get your stuff cooked, then you go make your source, add some garnishes.

Garnishes:
Garlic,
Soy sauce
Chili oil. . .
10+ items

Have fun making your own Korean ramen bowl!!! 🔥 Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Noise level Moderate noise Group size 1 person, 2 people, 3-4 people Wait time Up to 10 min Recommendation for vegetarians Somewhat recommend

Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Noise level: Moderate noise
Group size: 1 person, 2 people, 3-4 people
Wait time: Up to 10 min
Recommendation for vegetarians: Somewhat recommend"
Ci9DQUlRQUNvZENodHljRjlvT2tFelVrSlpRMU5ZYlY5RVZuZFdkMDVJYlVkb1lXYxAB,UCHA Members,1 star,2025-10-28,"Food: 1
Service: 1
Atmosphere: 1"
Ci9DQUlRQUNvZENodHljRjlvT2prM1FWUjRXRTlLYjJaRlVYTnBURWhsUjE4MlFrRRAB,Kyi Thant,1 star,2025-10-21,"I’m a huge fan of YGF and I always eat at least 2 days a week. I don’t really mind seeing hair in my dish last time at restaurant but this one is unacceptable because I can’t even take out a hair in this crispy pork. Just want to careful next time. For example, hair tied and wearing hats Price per person $50–100 Food: 5 Service: 2 Noise level Loud, but you can still talk

Price per person: $50–100
Food: 5
Service: 2
Noise level: Loud, but you can still talk"
Ci9DQUlRQUNvZENodHljRjlvT2s4eFExWnNiVlZ4WjFwMFlXOTBVMU5aWTNwRmNGRRAB,John Lin,5 stars,a month ago,"If you love spicy food, this place is a must-try! YGF Malatang serves real, authentic Asian-style spicy hot pot that’s super popular among young Asians. If you’re not afraid of heat and want to see what’s trending in Asia’s street food scene, this is the spot.
You’ll often see groups of young girls ordering tons of meat and laughing over steaming bowls of malatang — it’s such a fun vibe. The food is priced by weight ($14.99/lb), and they even deduct the bowl’s weight before weighing, which makes it super fair. The soup base is free, and the staff are friendly and efficient.
For reference, if you cook at home, slices of meat usually costs around $4–8/lb, so the price here is reasonable. I usually spend about $20 for a full meal, including a bowl of rice (only $1 and refillable!). Plus, there’s no mandatory tip, which is great for anyone who eats out often.
If you want to experience how young Asians enjoy spicy food culture — and you can handle the heat — this is definitely the place to go! 🔥 Food: 5 Service: 4 Atmosphere: 3

Food: 5
Service: 4
Atmosphere: 3"
Ci9DQUlRQUNvZENodHljRjlvT21Wek9FeFpMVEZ0UWxCbmNEWlFSMGR1Y0hsck5FRRAB,Mariela Rodriguez,5 stars,a month ago,"Food: 5
Service: 4
Atmosphere: 4"
Ci9DQUlRQUNvZENodHljRjlvT2podVFVMTJielowWmkxV2FqUmtlRVptVkVVeE1rRRAB,Ailin Situ,5 stars,a month ago,"The price is affordable, the price is high and the taste is good, it’s the best Malatang! Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Group size 2 people, 3-4 people Wait time No wait

Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Group size: 2 people, 3-4 people
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT2xJMWRVUjRkVnBwZEZOM2NGbG9kWEZTWVZrMU5YYxAB,Jerry Zhang,5 stars,a month ago,
Ci9DQUlRQUNvZENodHljRjlvT2xZeFJqSndjV1Y1U200MGVsSjBSMDVTWDBNeWNIYxAB,Mikelis Gorsky,1 star,a month ago,"Service: 1
Atmosphere: 1"
Ci9DQUlRQUNvZENodHljRjlvT2xWSU9VcGhUM2xJU25ocFdpMWhkSEZFV1ZOUWJrRRAB,Khant Thurain,1 star,a month ago,"I often come to this location. The food is good and the service is decent, and the atmosphere is nice. However, the main issue is that items are often missing from my dish. After paying by food weight, it seems that some items are taken out before the dish is served. This has happened multiple times, and it’s very disappointing because I carefully choose the ingredients I want, but they don’t always make it into my meal. Price per person $20–30 Food: 5 Service: 1 Atmosphere: 5

Price per person: $20–30
Food: 5
Service: 1
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2s1QlVFNXhTMDVRY1hsbE0zVkNSRzlCWWkxNVpVRRAB,Juana Simon,5 stars,a month ago,"This restaurant exceeded all my expectations. It's rare to find a restaurant with such a harmonious atmosphere. I will recommend it to all my friends. Food: 5 Service: 5 Atmosphere: 5 Group size Suitable for all group sizes Wait time No wait

Food: 5
Service: 5
Atmosphere: 5
Group size: Suitable for all group sizes
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT2tRNU1sQktRVkJaWXpSM01XWk9aMXAxVmxsNE5tYxAB,Sheng Lin,5 stars,a month ago,"Very delicious😋The price is beautiful and the cost performance is very good. The dishes are diverse and the environment and atmosphere are very good. It is recommended to come early for dinner ~ to avoid queuing! Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Noise level Moderate noise Wait time No wait Seating type Booth seating

Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Noise level: Moderate noise
Wait time: No wait
Seating type: Booth seating"
Ci9DQUlRQUNvZENodHljRjlvT2tkSldUbHJUa3hTWDFaclRFVTBNekZyY1hWNGIwRRAB,慧,5 stars,a month ago,"It's so blissful to listen to lively music while eating spicy Yang Guofu Malatang. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2tSQ1JUQTVURnBCVEd0SVV6QTVaVE5XYkROdlNtYxAB,王明娟,5 stars,a month ago,"The taste is quite delicious. The portion is large, the food is served quickly, and the service attitude is very good. Meal type Lunch Food: 5 Service: 5 Atmosphere: 5 Wait time No wait

Meal type: Lunch
Food: 5
Service: 5
Atmosphere: 5
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT2toUldIbzVia2xaUTBkMmJHMW9PRm8wUzBWcWQzYxAB,MACZ REYNOSO,5 stars,a month ago,"Meal type: Lunch
Group size: Suitable for all group sizes
Wait time: No wait
Recommendation for vegetarians: Highly recommend
Vegetarian options: Servicio confiable rápido y seguro"
Ci9DQUlRQUNvZENodHljRjlvT21KWVdUaEllVGhoYzBaSGVVRTFiRGw0YVVreFdtYxAB,Tritraporn Chaisriha,1 star,a month ago,"I recently visited this restaurant and would like to share my experience. The food itself was delicious, but unfortunately, after eating I experienced stomach problems, which was very disappointing.

In addition, I had a very unpleasant interaction with one of your staff members. On Wednesday around 10 PM, a male staff member (a bit heavyset and wearing glasses) spoke to me very rudely. He told me to clear my own dishes, raising his voice in a very impolite manner. We don’t mind to do it but we did not know that customers were expected to clear their own dishes, as there was no sign indicating this policy."
Ci9DQUlRQUNvZENodHljRjlvT2taZlZYVjJWbXgzTUVkVmMyOW9WMFJsTlVsQlZGRRAB,VG Lukacs,5 stars,a month ago,"I've been here several times, and the service is great! Lots of USC students come here.

Except for the fact that it's a bit too busy today.

This Yang Guo Fu restaurant is delicious, and many USC students come. It was just a bit busy today. Service Dine in Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Wait time No wait

Service: Dine in
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT2pWcFYyNUNValJtWlRGa1lWcEpibWhVUlUxTU5YYxAB,Scott Chiu,2 stars,a month ago,"Honestly, pretty disappointed. Food was average. Service was below par. Waited 20 minutes for my buzzer to go off... meanwhile the rest of my party almost finished their food... only to find out my bowl was left on the window counter and none of the servers bothered to check. That didn't seem to be a problem to them. Food: 3 Service: 1 Atmosphere: 3

Food: 3
Service: 1
Atmosphere: 3"
Ci9DQUlRQUNvZENodHljRjlvT21GVFFraHZjRnBUVkdSU1FYZG9kV0pDWlRFd1JrRRAB,he danping,1 star,a month ago,"It is worthy of being called Yang Guofu. You will have diarrhea after eating it, just like a laxative. If you want to lose weight, go to Yang Guofu. Price per person $100+ Food: 1 Service: 1 Atmosphere: 1 Reservation Reservations not required Noise level Loud, but you can still talk Group size 3-4 people

Price per person: $100+
Food: 1
Service: 1
Atmosphere: 1
Reservation: Reservations not required
Noise level: Loud, but you can still talk
Group size: 3-4 people"
Ci9DQUlRQUNvZENodHljRjlvT2sxclRHVmlTa0pyTUhaR04zSXdaRE55Y0dzMGFHYxAB,Chris Yang,1 star,a month ago,
Ci9DQUlRQUNvZENodHljRjlvT2xKRlZsUmhNeTFmVTFkTE1IZDNkMFJIZVhSNFZHYxAB,A-Kwon Fang,4 stars,2025-09-01,"Service: Dine in
Price per person: $20–30
Food: 4
Service: 4
Atmosphere: 4
Wait time: Up to 10 min
Seating type: Indoor dining area"
Ci9DQUlRQUNvZENodHljRjlvT25WbFdtNHRlSGRVZUhodE1qTkVXVUUzWlVoWVFrRRAB,Brinley Chun,5 stars,2025-09-01,"Everything was flawless. Broth was rich and complex, ingredients were fresh and plentiful, and service was quick and friendly. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2tOcVozVTVUWFpZYVhwRmJIYzJRVFJ6WTBWSldGRRAB,長風會筠,5 stars,2025-09-01,"fantastic food that called malatang, recommend tomato soup, and they offer a credit charge that give you 40 more when charge 200 Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Group size Suitable for all group sizes Wait time No wait

Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Group size: Suitable for all group sizes
Wait time: No wait"
Ci9DQUlRQUNvZENodHljRjlvT21oWlRWbEhWM2RuT1ZSeE5sSkJRbWt5UVVwV2ExRRAB,Shah Md Masum Billah,5 stars,2025-08-01,"Food: 5
Service: 5
Atmosphere: 4"
Ci9DQUlRQUNvZENodHljRjlvT2psQlYzb3lkVUp2TjIxZlUyRllZWGhpYVRCT1NsRRAB,Brian McNeil (Bezaleni),5 stars,2025-08-01,"Always amazing, so yummy and delicious! 😋🍜💜 Service Dine in Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Wait time Up to 10 min Seating type Indoor dining area

Service: Dine in
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Wait time: Up to 10 min
Seating type: Indoor dining area"
Ci9DQUlRQUNvZENodHljRjlvT21GNFNtNHlSVFUzYVdwSFVXRmhaa1JJVGpaaWJrRRAB,Biyang Guo,5 stars,2025-08-01,"Service: Dine in
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Wait time: No wait
Seating type: Indoor dining area, Booth seating
Parking space: Plenty of parking
Parking options: Free parking lot"
Ci9DQUlRQUNvZENodHljRjlvT25GWlRuTm1Sa1JUYjJRdFVWbzBPVVYyVEZsWmVsRRAB,V. R.,5 stars,2025-08-01,"Service: Dine in
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Wait time: No wait
Seating type: Indoor dining area"
