review_id,reviewer,stars,date,text
Ci9DQUlRQUNvZENodHljRjlvT25KWVJqQXlVMU5SWmtJMFdsaFBUVjh6Y0dVeFZWRRAB,Ranae Michell3,5 stars,2025-10-27,"Had Hanks honey chicken sandwich was pretty good convenient and great idea Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2xCd09UVTJVSGRLZGxReGJrOVdhVTVwVG5SVGRYYxAB,beth b,1 star,a month ago,"Food is HEAVILY OVERPRICED for what you’re getting. For starters, the photos on the kiosk menu does not match what you’re gonna get at all. The food is fast food level at best. I got some pho, chicken tenders, fries, and two drinks and paid $110. No place to sit and eat. Food: 1 Service: 3 Atmosphere: 1

Food: 1
Service: 3
Atmosphere: 1"
Ci9DQUlRQUNvZENodHljRjlvT210U1NITkdXVEZtVjFZMVVVUnZRVFZQVjBSb00wRRAB,Marissa,1 star,a month ago,"Order was not prepared.  Still waiting for a refund after 48hrs. I don't recommend. Food: 1 Service: 1 Atmosphere: 1

Food: 1
Service: 1
Atmosphere: 1"
Ci9DQUlRQUNvZENodHljRjlvT2xoSFkzcGlUMmRIVmxoTFVFcE9TbWxzUzNKd2VVRRAB,richard g,1 star,a month ago,"Had high hopes with lovelys chicken almost as high as the prices, yet was extremely disappointed. The chicken wasn't even tenders like I ordered and were some reheated old stale chicken that was hard as a rock. Then the waffle was dryey than the dessert. Absolutely terrible food worst chicken I've received in LA. Meal type Dinner Price per person $20–30 Food: 1 Service: 1 Atmosphere: 1 Wait time 10-30 min

Meal type: Dinner
Price per person: $20–30
Food: 1
Service: 1
Atmosphere: 1
Wait time: 10-30 min"
Ci9DQUlRQUNvZENodHljRjlvT21VMmRYTXpiamhoUTNSSE5UUlhSbEppUzNOeWIyYxAB,AnunA Gankhuu,5 stars,2025-08-01,"Incredibly top-of-the-food-chain grade wings from Banh Mi Cafe. Lemon pepper and Thai Chilli flavored ones were Chef’s kiss. Truly a blissful experience. The Garlic Soy Sauce Spring Rolls were not deep fried, more Summer Roll. That one was a sad emoji face. But the Wings overpowered the disappointment of the spring rolls. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT25KNE5GRmtVV3BGZG1oU1EwNTFORE5VYjFKd2RVRRAB,Ny Delancy,5 stars,2025-08-01,"I stumbled upon grand food Depot, purely by accident rushing around Los Angeles on a Friday afternoon, desperate to salvage a dinner party after my original caterer canceled last minute. Within a minute, they created a spread of fresh produce, artisan cheeses, specialty sauces and a selection of important spices that made my kitchen feel like a five star restaurant. Great food great service Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
Ci9DQUlRQUNvZENodHljRjlvT2xKcVNuVkhZalYwYm5CNlIyaGZRM1pVZFVKVVowRRAB,Audrey Hardin,1 star,2025-08-01,"Price per person: $20–30
Food: 1
Service: 1
Atmosphere: 1"
Ci9DQUlRQUNvZENodHljRjlvT2tnMGFuTnFPSFExYTJKemVpMUJNekZ6TFVSd1dWRRAB,Troy Foltz,1 star,2025-07-01,"Waffle was undercooked, rubbery and bland. They no longer provide butter for customers. Fried chicken was over cooked, and flavorless. Over priced and terrible food. Wouldn't come back Meal type Breakfast Price per person $20–30 Food: 1 Service: 2 Atmosphere: 2 Noise level Very quiet

Meal type: Breakfast
Price per person: $20–30
Food: 1
Service: 2
Atmosphere: 2
Noise level: Very quiet"
Ci9DQUlRQUNvZENodHljRjlvT2tsU05sUndRbEphYWtSRGMwVkNaWGxxUkdKalUxRRAB,Meryl Carter,5 stars,2025-07-01,They are very good at providng service.
ChZDSUhNMG9nS0VJdnFzSXJveThPRU53EAE,gaticamanjarrez,5 stars,2025-05-01,
ChdDSUhNMG9nS0VJQ0FnTUNZX3ZiUXpRRRAB,Amy,5 stars,2025-05-01,"The Shrimp Spring are to die for ! Meal type Lunch Price per person $10–20 Food: 5 Service: 4 Atmosphere: 4 Noise level Very quiet Seating type Outdoor patio / terrace

Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 4
Atmosphere: 4
Noise level: Very quiet
Seating type: Outdoor patio / terrace"
ChZDSUhNMG9nS0VJQ0FnTUNZNW9HMUZnEAE,JC Diaz,5 stars,2025-05-01,
