keyword,cluster
atmosphere atmosphere,0
joe,0
atmosphere dine,1
dine,1
dine atmosphere,1
kevin,1
atmosphere king,2
crab,2
crab legs,2
crab snow,2
dine meal,2
dinner,2
dinner price,2
king,2
king crab,2
legs,2
meal,2
meal type,2
premium,2
price,2
price atmosphere,2
seafood,2
snow,2
snow crab,2
tomahawk,2
type,2
type dinner,2
wagyu,2
buffet,3
dining,3
level,3
noise,3
options,3
parking,3
quality,3
reservation,3
time,3
valet,3
wait,3
wait time,3
attentive,4
delicious,4
excellent,4
friendly,4
meng,4
niku,4
perfect,4
atmosphere,5
server,6
wilson,6
