keyword,best_doc_index,best_tfidf,example_snippet
atmosphere,17,1.0,Food: 5 Service: 4 Atmosphere: 5
price,106,1.0,Price per person: $100+
dine,440,0.34010900816979267,Service: Dine in Food: 5 Service: 5 Atmosphere: 5
meal,1133,0.3144869363628222,Service: Dine in Meal type: Dinner Price per person: $50–100
dinner,855,0.43872069728650115,Had an incredible dinner and service. Joe was a professional server and made the din...
meal type,1133,0.3359102708399478,Service: Dine in Meal type: Dinner Price per person: $50–100
type dinner,1133,0.34115712256876773,Service: Dine in Meal type: Dinner Price per person: $50–100
type,1133,0.32156934512642654,Service: Dine in Meal type: Dinner Price per person: $50–100
dine meal,1133,0.3479212704688868,Service: Dine in Meal type: Dinner Price per person: $50–100
dinner price,1133,0.35350728172109125,Service: Dine in Meal type: Dinner Price per person: $50–100
price atmosphere,747,0.6714504813777259,Price per person: $100+ Food: 3 Service: 5 Atmosphere: 3
atmosphere atmosphere,330,0.7147688511439394,Awesome Food: 5 Service: 5 Atmosphere: 5  Food: 5 Service: 5 Atmosphere: 5
parking,641,0.662292752797559,"...n $100+ Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Parking space Plenty of parking Parking options Paid parking lot, V..."
crab,552,0.4976983716166477,...us Food: 5 Service: 5 Atmosphere: 5 Recommended dishes King Crab and Snow Crab Legs  Food: 5 Service: 5 Atmosphere: 5 Recomm...
wagyu,1065,0.4230735192094001,"Ok, why is no one talking about the BRAND NEW A5 wagyu and seafood buffet from Niku X??? For $99 per person, they ..."
server,639,0.5872163089714376,Amazing food and highly recommend our server Winson !! Food: 5 Service: 5 Atmosphere: 5  Food: 5 Service...
atmosphere dine,694,0.2539605646159575,"Me and my family had a great time at NIKU X! Especially because of my server Kelly, she was wonderful. She was super com..."
wait,162,0.5136162728697876,... and we loved every choice Food: 5 Service: 5 Atmosphere: 5 Wait time No wait  Food: 5 Service: 5 Atmosphere: 5 Wait time: N...
time,930,0.4553215320483988,"...30 and is now 815 still not seated. Food was good the first time and raved about it with my buddies, going to bring my busin..."
joe,303,0.7295229115323486,Joe was THE BEST!! This is the most epic place ever. Food: 5 Se...
meng,370,0.5421990490493932,Meng’s kindness and attentiveness made Niku X stand out as a top...
king,1039,0.3382640023245267,...od and there are many seafoods. Really had fun with all the king crab and wagyu 🙌 Food: 5 Service: 5 Atmosphere: 5  Food: 5 ...
king crab,1039,0.3382640023245267,...od and there are many seafoods. Really had fun with all the king crab and wagyu 🙌 Food: 5 Service: 5 Atmosphere: 5  Food: 5 Servi...
legs,552,0.2670251481281263,... 5 Atmosphere: 5 Recommended dishes King Crab and Snow Crab Legs  Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: King ...
crab legs,552,0.2675162768545013,...vice: 5 Atmosphere: 5 Recommended dishes King Crab and Snow Crab Legs  Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: King ...
