rank,keyword,tfidf_sum
1,atmosphere,180.787051
2,price,91.925552
3,dine,89.175363
4,meal,89.053522
5,dinner,88.765289
6,meal type,87.232768
7,type dinner,86.35135
8,type,86.229613
9,dine meal,84.428916
10,dinner price,83.561081
11,price atmosphere,83.086825
12,atmosphere atmosphere,68.464031
13,parking,53.20709
14,crab,48.174928
15,wagyu,47.449551
16,server,39.556894
17,atmosphere dine,35.192198
18,wait,30.217271
19,time,29.559746
20,joe,28.341115
21,meng,27.496819
22,king,26.634896
23,king crab,26.593553
24,legs,26.062254
25,crab legs,26.028601
26,buffet,25.797564
27,wilson,25.745326
28,seafood,25.550851
29,niku,25.234515
30,reservation,22.995941
31,snow crab,22.623829
32,snow,22.623829
33,crab snow,22.238495
34,noise,22.159219
35,dining,20.444047
36,kevin,20.317775
37,tomahawk,19.714982
38,options,19.578556
39,dine atmosphere,18.394507
40,excellent,18.166624
41,quality,18.070931
42,valet,18.002042
43,attentive,17.594314
44,delicious,17.525452
45,level,17.183661
46,premium,17.164574
47,atmosphere king,16.397803
48,wait time,15.906361
49,friendly,15.621652
50,perfect,15.376869
