aspect,sentiment,phrase,tfidf_sum,freq
environment,neg,popular_spot,2.0,2
environment,neg,small_space,1.0,1
environment,neg,loud_music,1.0,1
environment,neg,weird_key,1.0,1
environment,neg,sound_weird,1.0,1
environment,pos,good_matcha,6.0,6
environment,pos,good_coffee,4.0,4
environment,pos,enjoy_sun,1.0,1
environment,pos,good_reason,1.0,1
environment,pos,lively_vibe,1.0,1
price,neg,hong_kong_tea,1.0,1
price,neg,not_ethical,1.0,1
price,neg,double_charge,1.0,1
price,neg,extra_dollar,1.0,1
price,neg,extra_charge,1.0,1
price,pos,pretty_good,2.0,2
price,pos,quite_good,2.0,2
price,pos,big_portion,1.0,1
price,pos,eat_outside,1.0,1
price,pos,try_burrito,1.0,1
service,neg,extremely_rude,2.0,2
service,neg,walk_away,2.0,2
service,neg,return_automatically,1.0,1
service,neg,not_receive_money,1.0,1
service,neg,bad_service,1.0,1
service,pos,friendly_staff,3.0,3
service,pos,definitely_recommend,2.0,2
service,pos,fast_service,2.0,2
service,pos,try_dulce,1.0,1
service,pos,treat_issue,1.0,1
taste,neg,high_quality,1.0,1
taste,neg,similar_situation,1.0,1
taste,neg,premium_quality,1.0,1
taste,neg,disappointing_sign,1.0,1
taste,neg,not_sweeten,1.0,1
taste,pos,good_food,3.0,3
taste,pos,amazing_salad,2.0,2
taste,pos,delicious_pastry,2.0,2
taste,pos,delicious_food,2.0,2
taste,pos,great_iced_pumpkin,1.0,1
waiting_time,neg,long_line,4.0,4
waiting_time,neg,tomatoes_house,1.0,1
waiting_time,neg,worth_line,1.0,1
waiting_time,neg,not_come,1.0,1
waiting_time,neg,order_cashier,1.0,1
waiting_time,pos,grab_americano,1.0,1
waiting_time,pos,single_order,1.0,1
waiting_time,pos,serve_big_macchiato,1.0,1
waiting_time,pos,weird_funk,1.0,1
waiting_time,pos,just_throw,1.0,1
