aspect,sentiment,phrase,tfidf_sum,freq
taste,pos,food,27.8104397406813,38
taste,pos,good_food,3.571580324729347,5
taste,pos,quality,3.5711464482318784,4
taste,pos,flavor,2.849387888833815,6
taste,pos,sauce,2.471352479357045,3
taste,pos,coffee_good,2.404992237705003,3
taste,pos,meat,2.0,2
taste,pos,blueberry_flavor,1.8917522499586559,3
taste,pos,food_drink,1.8098589957653286,3
taste,pos,amazing_sandwich,1.681894540964466,2
taste,pos,food_delicious,1.6680094388776063,2
taste,pos,taste,1.650695745321232,3
taste,pos,delicious_coffee,1.5174403293763925,2
taste,pos,good_pastry,1.4710045466223656,3
taste,pos,matcha_latte_good,1.4142135623730951,2
taste,pos,latte_good,1.4142135623730951,2
taste,pos,matcha_flavor,1.3747414566782639,3
taste,pos,vegetarian_recommend,1.3637890819289318,2
taste,pos,recommendation_vegetarian_recommend,1.3637890819289318,2
taste,pos,good_cafe,1.2982888900595266,2
taste,pos,unique_delicious,1.2982888900595266,2
taste,pos,amazing_chicken,1.2592448101540916,2
taste,pos,salad_amazing,1.1660406569792725,2
taste,pos,good_drink,0.9052182142111125,2
taste,pos,good_latte,0.8756391592491524,2
taste,pos,flavor_matcha,0.8647626785132103,2
taste,pos,subtle_blueberry,0.8647626785132103,2
taste,pos,pastry_delicious,0.8157292194359191,2
taste,pos,rich_flavor,0.7626975858939188,2
taste,pos,rich_matcha,0.7626975858939188,2
taste,pos,delicious_taste,0.6986428727383447,2
service,pos,service,18.660975785763572,33
service,pos,food_service,11.95869861794288,20
service,pos,staff,5.694085985647523,9
service,pos,person_food_service,3.5317303311019077,7
service,pos,person_food,3.5317303311019077,7
service,pos,friendly_staff,3.1279211770030106,4
service,pos,best_matcha,3.0,3
service,pos,service_dine,2.45700468445183,4
service,pos,best_coffee,1.9342429088687831,2
service,pos,attitude,1.8217752591428578,2
service,pos,fast_service,1.7183416987353883,2
service,pos,customer_service,1.5681975797332106,2
service,pos,service_dine_meal,1.2328366495302434,2
service,pos,service_meal_type,1.0651196523407378,2
service,pos,service_meal,1.0651196523407378,2
price,pos,price,4.812488668643709,9
price,pos,price_person_food_service,3.0548724846492834,7
price,pos,price_person_food,3.0548724846492834,7
price,pos,price_person,3.0548724846492834,7
price,pos,good,3.0,3
price,pos,t_bad,2.0,2
price,pos,size,2.0,2
price,pos,portion,2.0,2
price,pos,good_thing,2.0,2
price,pos,service_dine_meal_type,1.3312225861845404,2
price,pos,type_breakfast_price_person,0.6822603232942854,2
price,pos,type_breakfast_price,0.6822603232942854,2
price,pos,meal_type_breakfast_price,0.6822603232942854,2
price,pos,breakfast_price_person_food,0.6822603232942854,2
price,pos,breakfast_price_person,0.6822603232942854,2
price,pos,breakfast_price,0.6822603232942854,2
environment,pos,atmosphere,9.965037503997179,22
environment,pos,food_service_atmosphere,8.587071205824332,18
environment,pos,service_atmosphere,8.587071205824332,18
environment,pos,music,3.2411794691775877,4
environment,pos,seating,3.1328120982632983,5
environment,pos,space,2.824987166416616,5
environment,pos,person_food_service_atmosphere,2.613762090011451,6
environment,pos,good_milk,2.492635062476668,3
environment,pos,one,2.4087673392650966,3
environment,pos,person_service_atmosphere,2.048726019443312,5
environment,pos,good_coffee,2.0,2
environment,pos,good_sandwich,2.0,2
environment,pos,good_t,2.0,2
environment,pos,great_matcha,1.7338448587424424,2
environment,pos,vibe,1.5321781351664143,2
environment,pos,good_matcha,1.4514969417922112,2
environment,pos,service_atmosphere_dish,1.2120053704187908,3
environment,pos,food_service_atmosphere_dish,1.2120053704187908,3
environment,pos,atmosphere_dish,1.2120053704187908,3
environment,pos,plenty_seating,1.1740058443395651,2
environment,pos,space_plenty_parking_parking,0.6359097114142336,2
environment,pos,parking_space_plenty,0.6359097114142336,2
environment,pos,parking_space_plenty_parking,0.6359097114142336,2
environment,pos,space_plenty,0.6359097114142336,2
environment,pos,space_plenty_parking,0.6359097114142336,2
environment,pos,parking_space,0.6359097114142336,2
waiting_time,pos,time,9.181128496156763,12
waiting_time,pos,line,8.03425086910082,14
waiting_time,pos,experience,3.8231906331249896,4
waiting_time,pos,line_long,2.5727268118026023,3
waiting_time,pos,seat,2.0,2
waiting_time,pos,hour,2.0,2
waiting_time,pos,good_sure,2.0,2
waiting_time,pos,line_door,1.7511569780108922,2
waiting_time,pos,time_min,1.7169750388232554,3
waiting_time,pos,worth_line,1.5343295649384325,2
waiting_time,pos,long_line,1.5343295649384325,2
waiting_time,pos,good_line,1.5343295649384325,2
waiting_time,pos,lunch_time,1.4930623046247145,2
waiting_time,pos,wait_time,1.2341487850520243,2
waiting_time,pos,wait,1.2181063416915419,2
