aspect,sentiment,target_noun,total_mentions,top_adjectives
environment,pos,service_atmosphere,23,"food(18), person(5)"
environment,pos,atmosphere,18,service(18)
environment,pos,food_service_atmosphere,6,person(6)
environment,pos,matcha,4,"great(2), good(2)"
environment,pos,milk,3,good(3)
environment,pos,atmosphere_dish,3,service(3)
environment,pos,service_atmosphere_dish,3,food(3)
environment,pos,dish,3,atmosphere(3)
environment,pos,coffee,2,good(2)
environment,pos,sandwich,2,good(2)
environment,pos,t,2,good(2)
environment,pos,seating,2,plenty(2)
environment,pos,plenty_parking_parking,2,space(2)
environment,pos,space_plenty,2,parking(2)
environment,pos,space_plenty_parking,2,parking(2)
environment,pos,plenty,2,space(2)
environment,pos,plenty_parking,2,space(2)
environment,pos,space,2,parking(2)
price,pos,person_food_service,7,price(7)
price,pos,person_food,7,price(7)
price,pos,person,7,price(7)
price,pos,bad,2,t(2)
price,pos,thing,2,good(2)
price,pos,dine_meal_type,2,service(2)
price,pos,breakfast_price_person,2,type(2)
price,pos,breakfast_price,2,type(2)
price,pos,type_breakfast_price,2,meal(2)
price,pos,price_person_food,2,breakfast(2)
price,pos,price_person,2,breakfast(2)
price,pos,price,2,breakfast(2)
service,pos,service,24,"food(20), fast(2), customer(2)"
service,pos,food_service,7,person(7)
service,pos,food,7,person(7)
service,pos,staff,4,friendly(4)
service,pos,dine,4,service(4)
service,pos,matcha,3,best(3)
service,pos,coffee,2,best(2)
service,pos,dine_meal,2,service(2)
service,pos,meal_type,2,service(2)
service,pos,meal,2,service(2)
taste,pos,flavor,8,"blueberry(3), matcha(3), rich(2)"
taste,pos,delicious,6,"food(2), unique(2), pastry(2)"
taste,pos,food,5,good(5)
taste,pos,good,5,"coffee(3), latte(2)"
taste,pos,drink,5,"food(3), good(2)"
taste,pos,matcha,4,"flavor(2), rich(2)"
taste,pos,pastry,3,good(3)
taste,pos,sandwich,2,amazing(2)
taste,pos,coffee,2,delicious(2)
taste,pos,latte_good,2,matcha(2)
taste,pos,recommend,2,vegetarian(2)
taste,pos,vegetarian_recommend,2,recommendation(2)
taste,pos,cafe,2,good(2)
taste,pos,chicken,2,amazing(2)
taste,pos,amazing,2,salad(2)
taste,pos,latte,2,good(2)
taste,pos,blueberry,2,subtle(2)
taste,pos,taste,2,delicious(2)
waiting_time,pos,line,6,"worth(2), long(2), good(2)"
waiting_time,pos,time,4,"lunch(2), wait(2)"
waiting_time,pos,long,3,line(3)
waiting_time,pos,min,3,time(3)
waiting_time,pos,sure,2,good(2)
waiting_time,pos,door,2,line(2)
