aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,neg,noise,0.9262116498428254,39,moderate_noise
environment,neg,parking,0.8549645998549157,36,free_parking
environment,neg,level,0.14249409997581927,6,high_level
environment,neg,limited_parking,0.09499606665054619,4,extremely_limited_parking
environment,neg,seat,0.07124704998790965,3,talk_seating
environment,pos,din,1.0783277320343843,30,indoor_dining
environment,pos,event,0.2516098041413563,7,special_event
environment,pos,favorite,0.14377703093791788,4,favorite_place
environment,pos,vibe,0.14377703093791788,4,casual_vibe
environment,pos,kitchen,0.10783277320343841,3,indoor_kitchen
price,neg,parking,0.7745966692414833,3,small_parking
price,pos,price,0.5895063447465634,7,affordable_price
price,pos,worth,0.5895063447465634,7,absolutely_worth
price,pos,portion,0.5052911526399114,6,large_portion
price,pos,reasonable_price,0.5052911526399114,6,absolutely_reasonable_price
price,pos,michelin,0.4210759605332595,5,affordable_michelin
service,neg,good,0.48507125007266594,2,pretty_good
service,neg,salsa,0.48507125007266594,2,good_salsa
service,pos,service,1.8603508673887943,29,great_service
service,pos,taco,0.5132002392796673,8,great_taco
service,pos,great,0.44905020936970896,7,great_experience
service,pos,away,0.25660011963983365,4,blow_away
service,pos,customer,0.25660011963983365,4,appreciate_customer
taste,neg,seafood,1.109955399076428,173,cooked_seafood
taste,neg,fish,0.16681410621957876,26,wild_local_fish
taste,neg,carbon,0.044911490136040434,7,al_carbon
taste,neg,difficult,0.03849556297374895,6,somewhat_difficult
taste,neg,tostada,0.03207963581145745,5,smoke_tostada
taste,pos,taco,1.2569203898810544,56,kanpachi_taco
taste,pos,seafood,0.9651352993729522,43,fresh_seafood
taste,pos,flavor,0.7855752436756588,35,great_flavor
taste,pos,ceviche,0.5835701810162037,26,good_ceviche
taste,pos,tostada,0.5386801670918803,24,kanpachi_tostada
waiting_time,neg,long_line,0.9615396962580047,24,insanely_long_line
waiting_time,neg,line,0.40064154010750197,10,avoid_line
waiting_time,neg,long_wait,0.3605773860967518,9,long_wait
waiting_time,neg,wait_time,0.2804490780752514,7,wait_time
waiting_time,neg,long,0.20032077005375098,5,long_time
waiting_time,pos,fast_service,0.6509445549041194,5,fast_service
waiting_time,pos,line,0.5207556439232955,4,expect_line
waiting_time,pos,wait,0.5207556439232955,4,barely_wait
waiting_time,pos,quickly,0.3905667329424717,3,actually_bring_quickly
waiting_time,pos,time,0.26037782196164777,2,wait_min
