aspect,sentiment,phrase,tfidf_sum,freq
waiting_time,neutral,long_line,9.987806857551636,14
waiting_time,neutral,no_wait,8.0,8
waiting_time,neutral,long_wait,3.4001176668653414,6
waiting_time,neutral,the_long_line,2.890554260878462,4
waiting_time,neutral,long_line a_long_line,1.9577239781099607,0
waiting_time,neutral,a_long_line,1.9577239781099607,3
waiting_time,neutral,the_long_wait long_wait,1.6831053808389305,0
waiting_time,neutral,the_long_wait,1.6831053808389305,3
waiting_time,neutral,long_wait a_long_wait,1.6831053808389305,0
waiting_time,neutral,a_long_wait,1.6831053808389305,3
waiting_time,neutral,the_long_line long_line,1.405876361613323,0
taste,neutral,so_fresh,14.462461497293553,20
taste,neutral,fresh_seafood,12.078906509787139,25
taste,neutral,was_delicious,11.207501287938205,16
taste,neutral,and_delicious,10.364768405070672,18
taste,neutral,very_fresh,9.91521848240097,11
taste,neutral,was_fresh,9.847271892298348,14
taste,neutral,freshness,8.830202566458988,18
taste,neutral,delicious_food,8.666410712615395,11
taste,neutral,incredibly_fresh,8.069797869882814,11
taste,neutral,delicious,7.695238987186816,11
taste,neutral,and_fresh,6.070031970108592,10
taste,neutral,is_fresh,5.870556129533124,7
taste,neutral,fresh_fish,5.4643493013249405,9
taste,neutral,good_fresh,4.559593457600953,5
taste,neutral,so_delicious,4.349687921095747,5
taste,neutral,super_fresh,4.006331670191405,6
taste,neutral,and_flavorful,3.9035586675497203,5
taste,neutral,is_delicious,3.773640516421669,4
taste,neutral,the_freshness,3.497392327714002,6
taste,neutral,delicious_seafood,3.465313039280778,4
taste,neutral,very_delicious,3.340675569740026,4
taste,neutral,freshness the_freshness,2.9764403211916686,0
taste,neutral,the_freshest,2.9721033933542924,5
taste,neutral,the_fresh,2.960138777806304,6
taste,neutral,are_delicious,2.7570513955114624,3
taste,neutral,fresh_food,2.7499651327339776,4
taste,neutral,fresh_flavors,2.3859629646896243,3
taste,neutral,s_fresh,2.378357385772986,3
taste,neutral,most_delicious,2.274170743531757,3
taste,neutral,and_freshness,2.2407799259941266,4
taste,neutral,and_freshness freshness,2.2407799259941266,0
taste,neutral,absolutely_delicious,2.240263432056321,3
taste,neutral,amazing_fresh,2.214510598878193,4
taste,neutral,fresh_fresh,2.096663339532252,3
taste,neutral,tastes_fresh,2.0,2
taste,neutral,of_fresh,1.9852817092749817,3
taste,neutral,of_freshness,1.897123600311599,3
taste,neutral,fresh,1.8796310523887485,3
taste,neutral,extremely_fresh,1.8365791107581628,2
taste,neutral,incredibly_delicious,1.8285942872517662,2
taste,neutral,not_tasty,1.819591766518765,2
taste,neutral,unbelievably_delicious,1.8035387539069698,2
taste,neutral,very_tasty,1.7972907122220665,2
taste,neutral,and_fresh_seafood,1.7701283090805975,3
taste,neutral,and_refreshing,1.7071067811865475,2
taste,neutral,fresh_flavorful,1.663334520208978,2
taste,neutral,were_fresh,1.6409552394220657,2
taste,neutral,exceptionally_fresh,1.587695523940479,2
taste,neutral,definitely_fresh,1.5713151560008458,2
taste,neutral,recommended_dishes_fresh recommended_dishes_fresh_seafood dishes_fresh,1.5587470579056102,0
taste,neutral,dishes_fresh,1.5587470579056102,5
taste,neutral,dishes_fresh_seafood,1.5587470579056102,5
taste,neutral,recommended_dishes_fresh,1.5587470579056102,5
taste,neutral,recommended_dishes_fresh recommended_dishes_fresh_seafood,1.5587470579056102,0
taste,neutral,recommended_dishes_fresh_seafood,1.5587470579056102,5
taste,neutral,recommended_dishes_fresh_seafood dishes_fresh,1.5587470579056102,0
taste,neutral,so_tasty,1.5331333286372515,3
taste,neutral,fresh_seafood_tacos,1.513611093986111,2
taste,neutral,fresh_delicious,1.4833927164100102,2
taste,neutral,and_delicious was_fresh,1.4443013402772298,0
taste,neutral,and_delicious_food,1.422194659161759,2
taste,neutral,with_fresh,1.416682162716943,2
taste,neutral,simply_delicious,1.3997865608554425,2
taste,neutral,such_delicious,1.3867720030392197,2
taste,neutral,not_fishy,1.3725896488844076,2
taste,neutral,fresh_ingredients,1.341991282613138,2
taste,neutral,delicious_mexican,1.33348241257246,2
taste,neutral,freshness of_freshness,1.311888994852423,0
taste,neutral,best_fresh,1.3116134951956415,2
taste,neutral,recommended_dishes_fresh_seafood dishes_fresh fresh_seafood,1.2664918317945086,0
taste,neutral,dishes_fresh fresh_seafood,1.2664918317945086,0
taste,neutral,of_fresh_fish,1.2659877966383812,2
taste,neutral,amazing_fresh_seafood,1.2396270863124803,2
taste,neutral,and_juicy,1.2372138310635634,2
taste,neutral,unbelievably_fresh,1.2001946835099413,2
taste,neutral,with_delicious,1.1877158114052553,2
taste,neutral,was_delicious_ceviche,1.1795606556856448,2
taste,neutral,delicious_ceviche,1.1795606556856448,2
taste,neutral,and_delicious so_fresh,1.1702128837094987,0
taste,neutral,was_sooo_fresh,1.1454845326724301,2
taste,neutral,sooo_fresh,1.1454845326724301,2
taste,neutral,and_fresh_seafood and_fresh,1.1303068286168712,0
