aspect,sentiment,target_noun,total_mentions,top_adjectives
environment,neutral,easy,5,quiet(5)
environment,neutral,level_quiet_easy,5,noise(5)
environment,neutral,level_quiet,5,noise(5)
environment,neutral,quiet_easy,5,level(5)
environment,neutral,quiet,5,level(5)
environment,neutral,noise_level_quiet,3,atmosphere(3)
environment,neutral,level_quiet level_quiet_easy,1,noise(1)
environment,neutral,quiet noise_level_quiet,1,level(1)
environment,neutral,quiet_easy noise_level_quiet_easy,1,level(1)
environment,neutral,easy atmosphere_noise_level_quiet,1,quiet(1)
environment,neutral,noise_level_quiet level_quiet,1,atmosphere(1)
price,neutral,affordable,10,"an(4), very(2), incredibly(2), most(2)"
price,neutral,price,7,"reasonable(5), affordable(2)"
price,neutral,michelin,4,affordable(4)
price,neutral,prices,4,"affordable(2), reasonable(2)"
price,neutral,good_value,3,very(3)
price,neutral,value,3,good(3)
price,neutral,cheap,2,not(2)
price,neutral,affordable_price,2,an(2)
price,neutral,reasonable_prices,2,very(2)
price,neutral,value very_good_value,1,good(1)
price,neutral,prices very_reasonable_prices,1,reasonable(1)
service,neutral,service,3,fast(3)
service,neutral,attentive,2,was(2)
service,neutral,helpful,2,and(2)
service,neutral,efficient,2,and(2)
taste,neutral,fresh,128,"so(20), was(14), very(11), incredibly(11), and(10)"
taste,neutral,delicious,68,"and(18), was(16), so(5), is(4), very(4)"
taste,neutral,seafood,31,"fresh(25), delicious(4), freshest(2)"
taste,neutral,food,15,"delicious(11), fresh(4)"
taste,neutral,freshness,15,"the(6), and(4), of(3), freshness the(1), freshness of(1)"
taste,neutral,fresh_seafood,12,"dishes(5), and(3), amazing(2), the(2)"
taste,neutral,fish,9,fresh(9)
taste,neutral,flavorful,7,"and(5), fresh(2)"
taste,neutral,tasty,7,"so(3), not(2), very(2)"
taste,neutral,freshest,5,the(5)
taste,neutral,dishes_fresh,5,recommended(5)
taste,neutral,dishes_fresh_seafood,5,recommended(5)
taste,neutral,mexican,4,"delicious(2), fresh(2)"
taste,neutral,flavors,3,fresh(3)
taste,neutral,refreshing,2,and(2)
taste,neutral,seafood_tacos,2,fresh(2)
taste,neutral,delicious_food,2,and(2)
taste,neutral,fishy,2,not(2)
taste,neutral,ingredients,2,fresh(2)
taste,neutral,fresh_fish,2,of(2)
taste,neutral,juicy,2,and(2)
taste,neutral,delicious_ceviche,2,was(2)
taste,neutral,ceviche,2,delicious(2)
taste,neutral,sooo_fresh,2,was(2)
taste,neutral,uni,2,fresh(2)
taste,neutral,fresh_uni,2,the(2)
taste,neutral,fresh_food,2,great(2)
taste,neutral,freshest_seafood,2,the(2)
taste,neutral,freshness freshness,1,and(1)
taste,neutral,dishes_fresh recommended_dishes_fresh_seafood dishes_fresh,1,recommended(1)
taste,neutral,dishes_fresh recommended_dishes_fresh_seafood,1,recommended(1)
taste,neutral,dishes_fresh_seafood dishes_fresh,1,recommended(1)
taste,neutral,delicious was_fresh,1,and(1)
taste,neutral,dishes_fresh_seafood dishes_fresh fresh_seafood,1,recommended(1)
taste,neutral,fresh fresh_seafood,1,dishes(1)
taste,neutral,delicious so_fresh,1,and(1)
taste,neutral,fresh_seafood and_fresh,1,and(1)
taste,neutral,seafood dishes_fresh_seafood,1,fresh(1)
taste,neutral,food great_fresh,1,fresh(1)
taste,neutral,fresh_food fresh_food great_fresh,1,great(1)
taste,neutral,fresh_food fresh_food,1,great(1)
taste,neutral,freshest the_freshest_seafood,1,the(1)
taste,neutral,freshest the_freshest_seafood freshest_seafood,1,the(1)
taste,neutral,freshest_seafood freshest_seafood,1,the(1)
taste,neutral,fresh fresh_seafood dishes_fresh_seafood,1,dishes(1)
waiting_time,neutral,line,14,long(14)
waiting_time,neutral,wait,14,"no(8), long(6)"
waiting_time,neutral,long_line,7,"the(4), a(3)"
waiting_time,neutral,long_wait,6,"the(3), a(3)"
waiting_time,neutral,line a_long_line,1,long(1)
waiting_time,neutral,long_wait long_wait,1,the(1)
waiting_time,neutral,wait a_long_wait,1,long(1)
waiting_time,neutral,long_line long_line,1,the(1)
