aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,neg,moderate_noise,0.3810003810005715,3,moderate_noise
environment,neg,easy_parking,0.254000254000381,2,easy_parking
environment,neg,free_parking,0.254000254000381,2,free_parking
environment,neg,overall_experience,0.254000254000381,2,overall_experience
environment,neg,pay_parking,0.254000254000381,2,pay_parking
environment,pos,spot,0.6622661785325219,10,great_spot
environment,pos,place,0.5960395606792698,9,great_place
environment,pos,experience,0.26490647141300877,4,great_experience
environment,pos,vibe,0.26490647141300877,4,great_vibe
environment,pos,environment,0.1986798535597566,3,nice_environment
price,pos,reasonable_price,0.8241633836921342,6,friendly_reasonable_price
price,pos,value,0.41208169184606713,3,great_value
price,pos,addition,0.27472112789737807,2,fantastic_addition
price,pos,flow,0.27472112789737807,2,great_flow
price,pos,generous_portion,0.27472112789737807,2,generous_portion
service,pos,service,1.2455047375590556,22,great_service
service,pos,friendly_staff,0.6793662204867574,12,super_friendly_staff
service,pos,friendly_service,0.2830692585361489,5,super_friendly_service
service,pos,blow_away,0.16984155512168936,3,blow_away
service,pos,attentive_server,0.11322770341445956,2,attentive_server
taste,neg,sour_soup,0.6379930845075023,9,sour_soup
taste,neg,braise_egg,0.4253287230050015,6,braise_egg
taste,neg,forbid_rice,0.2835524820033343,4,forbid_rice
taste,neg,hot_sour_soup,0.21266436150250076,3,hot_sour_soup
taste,neg,beverage,0.21266436150250073,3,alcoholic_beverage
taste,pos,taiwanese_popcorn,0.44615884498547714,13,taiwanese_popcorn
taste,pos,dessert,0.41183893383274817,12,customize_dessert
taste,pos,appetizer,0.34319911152729016,10,fresh_appetizer
taste,pos,panfrie_pork,0.3088792003745611,9,panfrie_pork
taste,pos,mapo_tofu,0.20591946691637408,6,mapo_tofu
waiting_time,neg,long_line,0.6099942813304187,4,long_line
waiting_time,neg,busy_place,0.30499714066520933,2,super_busy_place
waiting_time,neg,huge_roll,0.30499714066520933,2,huge_roll
waiting_time,pos,fast_service,0.6666666666666666,4,really_fast_service
waiting_time,pos,breakfast,0.3333333333333333,2,excellent_breakfast
waiting_time,pos,bring_quick,0.3333333333333333,2,bring_quick
