aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,pos,space,0.5345224838248488,2,small_space
price,neg,price,1.1547005383792517,2,high_price
price,pos,price,1.0606601717798212,3,affordable_price
service,pos,great,0.5773502691896257,3,great_place
service,pos,service,0.5773502691896257,3,excellent_service
service,pos,ygf,0.3849001794597505,2,good_ygf
taste,neg,ingredient,0.6255432421712244,3,complex_ingredient
taste,pos,good_food,0.4703604341917986,5,good_food
taste,pos,deliciou,0.3762883473534389,4,actually_delicious
taste,pos,great_food,0.3762883473534389,4,great_food
taste,pos,delicious_food,0.2822162605150792,3,delicious_food
taste,pos,fantastic_food,0.2822162605150792,3,fantastic_food
waiting_time,pos,time,0.7559289460184544,2,fourth_time
