aspect,sentiment,head_noun,freq,tfidf_sum,phrase
environment,pos,place,8,1.1202240672224077,beautiful_place
environment,pos,spot,5,0.7001400420140048,favorite_spot
environment,pos,love,2,0.28005601680560194,insanely_good_love
environment,pos,space,2,0.28005601680560194,light_space
environment,pos,special,2,0.28005601680560194,yunomi_special
price,neg,fee,2,0.8944271909999159,additional_fee
service,pos,service,7,0.8029550685469661,amazing_service
service,pos,staff,7,0.8029550685469661,attentive_staff
service,pos,recommend,3,0.3441236008058426,highly_recommend
service,pos,bar,2,0.22941573387056174,tiny_bar
service,pos,forward,2,0.22941573387056174,look_forward
taste,neg,experience,3,0.5388159060803247,bad_experience
taste,neg,salmon,3,0.5388159060803247,smooth_spicy_salmon
taste,neg,tuna,3,0.5388159060803247,spicy_tuna
taste,pos,food,12,0.8528028654224418,amazing_food
taste,pos,hand,11,0.7817359599705717,amazon_hand
taste,pos,handroll,10,0.7106690545187015,bad_handroll
taste,pos,appetizer,8,0.5685352436149612,absolutely_delicious_appetizer
taste,pos,sushi,6,0.42640143271122094,efficient_sushi
waiting_time,neg,hour,3,0.8320502943378437,busy_hour
waiting_time,neg,minute,2,0.5547001962252291,wait_minute
