aspect,sentiment,target_noun,total_mentions,top_adjectives
environment,neg,funk,1,weird(1)
environment,neg,size,1,small(1)
environment,neg,year,1,past(1)
environment,neg,noise,1,moderate(1)
environment,neg,loud_level,1,dine(1)
environment,neg,train,1,acceptable(1)
environment,pos,spot,2,popular(2)
price,neg,quality,2,"high(1), premium(1)"
price,neg,charge,2,"double(1), extra(1)"
price,neg,dollar,2,"pay(1), extra(1)"
price,neg,worth,1,not(1)
price,neg,personally_recommend,1,not(1)
price,neg,price,1,different(1)
price,neg,money,1,receive(1)
price,neg,ceremonial_grade,1,premium(1)
price,pos,recommend,3,highly(3)
service,neg,away,2,walk(2)
service,neg,complain,1,not(1)
service,neg,guy,1,rude(1)
service,neg,sign,1,disappointing(1)
service,neg,impression,1,general(1)
service,neg,care,1,not(1)
service,neg,staff,1,rude(1)
service,neg,use,1,not(1)
service,neg,rude,1,incredibly(1)
service,neg,manager,1,disrespectful(1)
service,neg,behavior,1,unacceptable(1)
service,neg,treatment,1,disrespectful(1)
service,neg,action,1,disrespectful(1)
service,neg,disappointing,1,deeply(1)
service,neg,remind,1,politely(1)
service,neg,slam_cup,1,rudely(1)
service,neg,poorly,1,treat(1)
service,neg,worst,1,treat(1)
service,neg,ecause,1,bad(1)
service,pos,matcha,6,good(6)
service,pos,staff,2,friendly(2)
service,pos,service,2,bad(2)
taste,neg,spoon,2,"grab(1), big(1)"
taste,neg,chili,1,sweet(1)
taste,neg,aroma,1,subtle(1)
taste,neg,sweeten,1,not(1)
taste,neg,delicious_pastry,1,not(1)
taste,neg,warm_croissant,1,not(1)
taste,neg,hot_chocolate,1,not(1)
taste,neg,chocolate,1,hot(1)
taste,neg,ice,1,order(1)
taste,neg,girl,1,asian(1)
taste,pos,dulce,7,cafe(7)
taste,pos,coffee,4,good(4)
taste,pos,tea,3,green(3)
taste,pos,salad,2,amazing(2)
taste,pos,chicken,2,spicy(2)
taste,pos,pastry,2,delicious(2)
waiting_time,neg,line,5,long(5)
waiting_time,pos,service,3,"fast(2), efficient(1)"
waiting_time,pos,line,1,short(1)
waiting_time,pos,spot,1,long(1)
waiting_time,pos,order,1,just(1)
waiting_time,pos,breakfast,1,busy(1)
