aspect,sentiment,phrase,tfidf_sum,freq
taste,pos,fresh_seafood,92.01519174895951,168
taste,pos,fresh_fish,13.374263887881295,17
taste,pos,good_taco,11.188624183326125,15
taste,pos,delicious_seafood,9.829931386731404,11
taste,pos,tasting_menu,8.590835305820598,11
taste,pos,delicious_service,7.347295587024124,9
taste,pos,good_fish,6.729297952824061,8
taste,pos,great_flavor,6.151763904031059,7
taste,pos,great_taco,5.1941847305755555,8
taste,pos,bold_flavor,4.287553577861775,5
taste,pos,amazing_taco,3.7084462431142486,4
taste,pos,delicious_taco,3.5520910222041104,5
taste,pos,fresh_flavor,3.5306057427582265,4
taste,pos,incredible_taco,3.493116141709404,4
taste,pos,smoky_flavor,3.1841192439195765,6
taste,pos,delicious_ceviche,2.769575824321918,3
taste,pos,good_lemonade,2.5968232274749417,3
taste,pos,tender_octopus,2.5048178562151775,4
taste,pos,amazing_fish,2.4009061836521957,3
taste,pos,fresh_ingredient,2.1470613111013788,4
taste,pos,amazing_lemonade,2.0,2
taste,pos,fresh_service,2.0,2
taste,pos,unique_flavor,2.0,2
taste,pos,fantastic_seafood,2.0,2
taste,pos,excellent_taco,2.0,2
taste,pos,amazing_don,1.8079044987624675,2
taste,pos,amazing_ceviche,1.7784968560622716,2
taste,pos,culinary_gem,1.7071067811865475,2
taste,pos,fresh_ceviche,1.68228908193125,2
taste,pos,good_flavor,1.6620975506734015,2
taste,pos,amazing_menu,1.615808997524935,2
taste,pos,great_ceviche,1.6148967729566035,2
taste,pos,excellent_seafood,1.606460633185982,2
taste,pos,favorite_taco,1.4926081921948247,2
taste,pos,octopus_taco,1.4901935806937174,2
taste,pos,natural_flavor,1.484659337507236,2
taste,pos,fresh_branzino,1.4323410382959827,2
taste,pos,incredible_flavor,1.4117694820698494,2
taste,pos,delicious_fish,1.3645781638624999,2
taste,pos,dark_chocolate,1.3468012441057586,2
taste,pos,fresh_oyster,1.3424702228732635,2
taste,pos,fresh_uni,1.3214008721113504,2
taste,pos,light_taco,1.3170700460078801,2
taste,pos,fresh_sea,1.290355735325598,2
taste,pos,strong_flavor,1.2729199795597679,2
taste,pos,fresh_shrimp,1.1598735834028244,2
taste,pos,vibrant_flavor,1.1172322006397608,2
taste,pos,acidic_flavor,1.0380722567109317,2
taste,pos,great_bite,1.0,1
taste,pos,delicious_alcohol,1.0,1
taste,pos,good_taste,1.0,1
taste,pos,fresh_zesty,1.0,1
taste,pos,great_tasting,1.0,1
taste,pos,excellent_dinner,1.0,1
taste,pos,gamey_flavor,1.0,1
taste,pos,fresh_taste,1.0,1
taste,pos,fresh_wood,1.0,1
taste,pos,excellent_fish,1.0,1
taste,pos,fantastic_sauce,1.0,1
taste,pos,fantastic_taco,1.0,1
taste,pos,favorite_ceviche,1.0,1
taste,pos,fantastic_ceviche,1.0,1
taste,pos,flavorful_fish,1.0,1
taste,pos,exquisite_taco,1.0,1
taste,pos,flavorful_uni,1.0,1
taste,pos,fresh_agauchile,1.0,1
taste,pos,brine_flavor,1.0,1
taste,pos,fresh_avoid,1.0,1
taste,pos,fresh_caugth,1.0,1
taste,pos,fresh_creamy,1.0,1
taste,pos,coastal_flavor,1.0,1
taste,pos,fresh_lucy,1.0,1
taste,pos,fresh_marisco,1.0,1
taste,pos,branzino_seafood,1.0,1
taste,pos,decent_chocolate,1.0,1
taste,pos,fresh_salsa,1.0,1
taste,pos,wonderful_ceviche,1.0,1
taste,pos,great_variety,1.0,1
taste,pos,insane_flavor,1.0,1
taste,pos,delicious_wish,1.0,1
taste,pos,delicious_smokey,1.0,1
taste,pos,refined_flavor,1.0,1
taste,pos,amazing_sauce,1.0,1
taste,pos,repetitive_flavor,1.0,1
taste,pos,delicious_scallop,1.0,1
taste,pos,smoked_taco,1.0,1
taste,pos,soft_tender,1.0,1
taste,pos,delicious_portion,1.0,1
taste,pos,super_tender,1.0,1
taste,pos,sweet_creamy,1.0,1
taste,pos,delicious_lobster,1.0,1
taste,pos,delicious_lemonade,1.0,1
taste,pos,tasty_fish,1.0,1
taste,pos,tasty_octopus,1.0,1
taste,pos,tasty_service,1.0,1
taste,pos,tasty_stop,1.0,1
taste,pos,tasty_taco,1.0,1
taste,pos,tasty_uni,1.0,1
taste,pos,delicious_don,1.0,1
taste,pos,delicious_dessert,1.0,1
taste,pos,true_delight,1.0,1
taste,pos,absolute_taco,1.0,1
taste,pos,unique_taco,1.0,1
taste,pos,unique_taste,1.0,1
taste,pos,pure_indulgence,1.0,1
taste,pos,fantastic_lunch,1.0,1
taste,pos,appropriate_portion,1.0,1
taste,pos,incredible_course,1.0,1
taste,pos,palatable_flavor,1.0,1
taste,pos,fantastic_fish,1.0,1
taste,pos,awesome_seafood,1.0,1
taste,pos,multifaceted_flavor,1.0,1
taste,pos,incredible_falvor,1.0,1
taste,pos,perfect_taste,1.0,1
taste,pos,personal_favorite,1.0,1
taste,pos,personal_taste,1.0,1
taste,pos,authentic_taste,1.0,1
taste,pos,tender_fish,0.9902687969623332,2
taste,pos,latin_flavor,0.9466643398075083,1
taste,pos,good_variety,0.9466643398075083,1
taste,pos,mexican_flavor,0.8842414322558282,2
