aspect,sentiment,target_noun,total_mentions,top_adjectives
environment,neg,noise,187,moderate(187)
environment,neg,seating,6,"open(3), limited(1), ample(1), communal(1)"
environment,neg,group,4,"big(3), large(1)"
environment,neg,smell,1,unpleasant(1)
environment,neg,cleaning,1,proper(1)
environment,neg,hall,1,large(1)
environment,neg,tourist,1,horrible(1)
environment,neg,parking,1,horrendous(1)
environment,neg,saturday,1,busy(1)
environment,neg,people,1,busy(1)
environment,neg,day,1,warm(1)
environment,pos,easy,37,quiet(37)
environment,pos,atmosphere,16,"relaxed(4), great(2), typical(2), casual(1), good(1)"
environment,pos,presentation,10,"great(2), excellent(2), beautiful(2), amazing(1), nice(1)"
environment,pos,vibe,4,"great(3), interesting(1)"
environment,pos,environment,3,vibrant(3)
environment,pos,quality,3,"amazing(2), great(1)"
environment,pos,spot,3,"good(2), fantastic(1)"
environment,pos,portion,3,"excellent(1), great(1), good(1)"
environment,pos,touch,2,nice(2)
environment,pos,level,2,new(2)
environment,pos,team,2,amazing(2)
environment,pos,combination,2,"perfect(1), nice(1)"
environment,pos,expression,1,good(1)
environment,pos,evening,1,great(1)
environment,pos,choice,1,great(1)
environment,pos,working,1,good(1)
environment,pos,line,1,good(1)
environment,pos,fusion,1,good(1)
environment,pos,balance,1,good(1)
environment,pos,uni,1,amazing(1)
environment,pos,game,1,great(1)
environment,pos,octopus,1,excellent(1)
environment,pos,cat,1,cute(1)
environment,pos,party,1,awesome(1)
environment,pos,holbox,1,great(1)
environment,pos,lighting,1,romantic(1)
environment,pos,perfect,1,refreshing(1)
environment,pos,melding,1,perfect(1)
environment,pos,harmony,1,perfect(1)
environment,pos,combo,1,perfect(1)
environment,pos,basic,1,perfect(1)
environment,pos,interior,1,nice(1)
environment,pos,job,1,amazing(1)
environment,pos,ambience,1,nice(1)
environment,pos,operation,1,impressive(1)
environment,pos,don,1,impressed(1)
environment,pos,fan,1,huge(1)
environment,pos,texture,1,great(1)
environment,pos,seasoning,1,fantastic(1)
environment,pos,summer,1,great(1)
environment,pos,attitude,1,great(1)
environment,pos,churro,1,nice(1)
environment,pos,depth,1,incredible(1)
price,pos,price,35,"reasonable(15), affordable(6), good(5), worth(3), fresh(2)"
price,pos,value,9,"good(4), great(3), excellent(1), unbeatable(1)"
price,pos,quality,6,"good(4), excellent(1), incredible(1)"
price,pos,michelin,5,"affordable(4), cheap(1)"
price,pos,choice,2,"excellent(1), good(1)"
price,pos,pricing,1,fresh(1)
price,pos,tho,1,cheap(1)
price,pos,money,1,good(1)
price,pos,line,1,worth(1)
price,pos,fortune,1,great(1)
price,pos,service,1,worth(1)
price,pos,penny,1,worth(1)
service,neg,service,25,"warm(2), favorite(2), dish(1), bad(1), balanced(1)"
service,neg,professionalism,1,complete(1)
service,neg,d,1,rude(1)
service,pos,staff,16,"friendly(4), amazing(2), excellent(2), attentive(2), great(2)"
service,pos,service,4,"attentive(3), polite(1)"
service,pos,server,2,attentive(2)
service,pos,customer,2,"excellent(1), fantastic(1)"
service,pos,hour,2,happy(2)
service,pos,courtesy,1,common(1)
service,pos,support,1,emotional(1)
service,pos,touch,1,thoughtful(1)
service,pos,thank,1,famous(1)
service,pos,people,1,pretentious(1)
service,pos,ambiance,1,great(1)
taste,neg,taco,2,"undercooked(1), soggy(1)"
taste,neg,don,1,terrible(1)
taste,neg,diarrhea,1,terrible(1)
taste,neg,scallop,1,stale(1)
taste,neg,coffee,1,iced(1)
taste,neg,time,1,horrible(1)
taste,neg,gulf,1,fried(1)
taste,neg,tortilla,1,extra(1)
taste,neg,passion,1,cold(1)
taste,neg,halibut,1,cold(1)
taste,neg,beer,1,cold(1)
taste,neg,oil,1,chili(1)
taste,neg,shrimp,1,bland(1)
taste,neg,octopus,1,bland(1)
taste,pos,seafood,187,"fresh(168), delicious(11), fantastic(2), excellent(2), branzino(1)"
taste,pos,flavor,62,"great(7), smoky(6), bold(5), fresh(4), unique(2)"
taste,pos,taco,60,"good(15), great(8), delicious(5), amazing(4), incredible(4)"
taste,pos,fish,36,"fresh(17), good(8), amazing(3), delicious(2), tender(2)"
taste,pos,ceviche,14,"delicious(3), amazing(2), fresh(2), great(2), favorite(1)"
taste,pos,menu,13,"tasting(11), amazing(2)"
taste,pos,service,12,"delicious(9), fresh(2), tasty(1)"
