keyword,best_doc_index,best_tfidf,example_snippet
delicious,69,1.0,Nice and Delicious! Food: 5 Service: … More
dine,48,1.0,Good！ Service Dine in… More
taste,31,1.0,Very nice taste! Recommend Food: 5… More
price,43,1.0,Nice food Price per person $10–20… More
delicious dine,25,0.7143374184017377,"Always amazing, so yummy and delicious! 😋🍜💜 … Service Dine in… More"
malatang,50,0.8117085415697816,Delicious malatang Food: 5 Service: … More
tasty,112,1.0,tasty! Food: 5
eating,103,1.0,The air conditioning is poor. I was sweating all over after eating. Service… More
chinese,44,0.846249985930987,"Very good Chinese food, nice place! Service Dine in… More"
time,28,0.5591631531763542,I have been here twice. Every time I had runs. It always messed up my stomach. Salted as hell ...
ve,32,0.570434768076933,...finitely do better in dishwashing. It was always oily and I’ve been reporting it for a few times More
times,32,0.5299395706843456,...ng. It was always oily and I’ve been reporting it for a few times More
clean,33,0.7071067811865476,"Spacious, clean, good lighting, fresh food…a very nice setup especially con..."
taste dine,62,0.7303710681715703,Really good taste and service!! Service Dine in… More
fantastic,41,0.846249985930987,It is a great place to dine in. The food is fantastic! Food: 5… More
fresh,33,0.7071067811865476,"Spacious, clean, good lighting, fresh food…a very nice setup especially considering the little pl..."
eat,119,0.7540986003157388,Delicious!! Come and eat Service Dine in… More
worth,53,1.0,A bit pricey.. but worth it! Food: 5… More
wow,77,1.0,So good wow
authentic,75,0.7973651857368548,authentic taste! Food: 5 Service: … More
atmosphere,87,1.0,...ions. It's rare to find a restaurant with such a harmonious atmosphere. I will recommend it to all my friends. More
ygf,18,0.7165013543497852,If there was a YGF wall of fame I would be on it. My friend and I have been co...
ordered,99,0.5448179269149396,"...minutes after ordering, the food was not mine, had to be re-ordered. At the same time a homeless man came in and stole the cell..."
soup,36,0.5376731403063313,Soup base were rich in flavor. Variety choices of ingredients to...
spicy,104,0.5180514645521122,Spicy and delicious 😋 There are many choices of dishes. It feels ...
issue,45,1.0,closed for safe and health issue by CDPH since 6/21 2024 Food: 3… More
china,54,0.6151119620876502,very good. much better than in china Service Dine in… More
better,54,0.6766569079235835,very good. much better than in china Service Dine in… More
weight,3,0.36865231662574244,The soup goes by weight to pay average 10-17$ It does get busy and tables are first...
variety,56,0.557596323119536,amazing broth and a wide variety of food! Food: 5… More
stomach,28,0.6621136337565698,...n here twice. Every time I had runs. It always messed up my stomach. Salted as hell Price p… More
don,22,0.7071067811865476,... barley speak any English so it was hard to get food if you don't know how they operate. … More
small,39,1.0,"Great place for lunch, service was nice and sometimes small deals👍🏻 … Service… More"
environment,17,0.5319690791480918,The food is delicious! Clean and good environment. Recommend! Service Di… More
perfect,72,0.87183074918316,Perfect! Service Dine in… More
ingredients,10,0.42592748474314196,"...t too much msg in the food, otherwise very satisfied! Fresh ingredients and big variety with a wide choice of cooking styles More"
dinner,88,0.4728710049733038,"It's all fine, except that last night when I was having dinner, the little blacksmith in Milan was listening to the song h..."
wide,56,0.5869779980730002,amazing broth and a wide variety of food! Food: 5… More
choices,55,0.6651780377933996,So many choices and fantastic food Service Dine in… More
broth,56,0.5869779980730002,amazing broth and a wide variety of food! Food: 5… More
attitude,8,0.894427190999916,...f she has such a bad face. I suggest the boss to change her attitude and report to the relevant departments if she doesn't impro...
rice,30,0.8071072850820961,...periencing this. I ordered to-go and the cashier forgot the rice I paid for. I asked if he could get me some rice and he did...
friendly,47,1.0,"Nice food, friendly service, love it! Food: 5… More"
yang,100,0.4869893592017816,"I loved eating Yang Guofu in China, but I didn't expect to miss Yang Guofu abro..."
yang guofu,100,0.4869893592017816,"I loved eating Yang Guofu in China, but I didn't expect to miss Yang Guofu abroad! ! ..."
guofu,100,0.4869893592017816,"I loved eating Yang Guofu in China, but I didn't expect to miss Yang Guofu abroad! ! ..."
want,61,0.8119273744621661,Give u the taste u want. Food: 5 Service: … More
ve times,86,0.627509543187916,"I've been here several times, and the service is great! Lots of USC students come here. … More"
foods,42,0.87183074918316,So many foods to choose from! Amazing restaurant Service Dine in… More
say,19,0.7071067811865476,... great but need to change the employees. That's all i would say Food: 5… More
