rank,keyword,tfidf_sum,best_doc_index,best_tfidf,example_snippet,cluster
1,delicious,12.813101,69,1.0,Nice and Delicious! Food: 5 Service: … More,0
2,dine,12.191088,48,1.0,Good！ Service Dine in… More,0
3,taste,7.078987,31,1.0,Very nice taste! Recommend Food: 5… More,0
4,price,5.067497,43,1.0,Nice food Price per person $10–20… More,6
5,delicious dine,4.524286,25,0.7143374184017377,"Always amazing, so yummy and delicious! 😋🍜💜 … Service Dine in… More",0
6,malatang,3.246345,50,0.8117085415697816,Delicious malatang Food: 5 Service: … More,6
7,tasty,3.0,112,1.0,tasty! Food: 5,5
8,eating,2.942987,103,1.0,The air conditioning is poor. I was sweating all over after eating. Service… More,2
9,chinese,2.360055,44,0.846249985930987,"Very good Chinese food, nice place! Service Dine in… More",0
10,time,2.346504,28,0.5591631531763542,I have been here twice. Every time I had runs. It always messed up my stomach. Salted as hell ...,6
11,ve,2.343508,32,0.570434768076933,...finitely do better in dishwashing. It was always oily and I’ve been reporting it for a few times More,6
12,times,2.326927,32,0.5299395706843456,...ng. It was always oily and I’ve been reporting it for a few times More,6
13,clean,2.291169,33,0.7071067811865476,"Spacious, clean, good lighting, fresh food…a very nice setup especially con...",6
14,taste dine,2.191113,62,0.7303710681715703,Really good taste and service!! Service Dine in… More,0
15,fantastic,2.155868,41,0.846249985930987,It is a great place to dine in. The food is fantastic! Food: 5… More,6
16,fresh,2.144487,33,0.7071067811865476,"Spacious, clean, good lighting, fresh food…a very nice setup especially considering the little pl...",2
17,eat,2.081332,119,0.7540986003157388,Delicious!! Come and eat Service Dine in… More,0
18,worth,2.0,53,1.0,A bit pricey.. but worth it! Food: 5… More,3
19,wow,2.0,77,1.0,So good wow,4
20,authentic,1.997013,75,0.7973651857368548,authentic taste! Food: 5 Service: … More,0
21,atmosphere,1.922228,87,1.0,...ions. It's rare to find a restaurant with such a harmonious atmosphere. I will recommend it to all my friends. More,6
22,ygf,1.9074,18,0.7165013543497852,If there was a YGF wall of fame I would be on it. My friend and I have been co...,6
23,ordered,1.852471,99,0.5448179269149396,"...minutes after ordering, the food was not mine, had to be re-ordered. At the same time a homeless man came in and stole the cell...",6
24,soup,1.819523,36,0.5376731403063313,Soup base were rich in flavor. Variety choices of ingredients to...,2
25,spicy,1.80137,104,0.5180514645521122,Spicy and delicious 😋 There are many choices of dishes. It feels ...,2
26,issue,1.744509,45,1.0,closed for safe and health issue by CDPH since 6/21 2024 Food: 3… More,6
27,china,1.700758,54,0.6151119620876502,very good. much better than in china Service Dine in… More,6
28,better,1.698262,54,0.6766569079235835,very good. much better than in china Service Dine in… More,6
29,weight,1.666678,3,0.36865231662574244,The soup goes by weight to pay average 10-17$ It does get busy and tables are first...,2
30,variety,1.653081,56,0.557596323119536,amazing broth and a wide variety of food! Food: 5… More,2
31,stomach,1.618779,28,0.6621136337565698,...n here twice. Every time I had runs. It always messed up my stomach. Salted as hell Price p… More,6
32,don,1.599844,22,0.7071067811865476,... barley speak any English so it was hard to get food if you don't know how they operate. … More,0
33,small,1.59423,39,1.0,"Great place for lunch, service was nice and sometimes small deals👍🏻 … Service… More",6
34,environment,1.581729,17,0.5319690791480918,The food is delicious! Clean and good environment. Recommend! Service Di… More,6
35,perfect,1.578938,72,0.87183074918316,Perfect! Service Dine in… More,1
36,ingredients,1.578031,10,0.42592748474314196,"...t too much msg in the food, otherwise very satisfied! Fresh ingredients and big variety with a wide choice of cooking styles More",2
37,dinner,1.559491,88,0.4728710049733038,"It's all fine, except that last night when I was having dinner, the little blacksmith in Milan was listening to the song h...",6
38,wide,1.549819,56,0.5869779980730002,amazing broth and a wide variety of food! Food: 5… More,2
39,choices,1.506262,55,0.6651780377933996,So many choices and fantastic food Service Dine in… More,2
40,broth,1.499321,56,0.5869779980730002,amazing broth and a wide variety of food! Food: 5… More,0
41,attitude,1.498052,8,0.894427190999916,...f she has such a bad face. I suggest the boss to change her attitude and report to the relevant departments if she doesn't impro...,0
42,rice,1.407755,30,0.8071072850820961,...periencing this. I ordered to-go and the cashier forgot the rice I paid for. I asked if he could get me some rice and he did...,6
43,friendly,1.404699,47,1.0,"Nice food, friendly service, love it! Food: 5… More",2
44,yang,1.328397,100,0.4869893592017816,"I loved eating Yang Guofu in China, but I didn't expect to miss Yang Guofu abro...",2
45,yang guofu,1.328397,100,0.4869893592017816,"I loved eating Yang Guofu in China, but I didn't expect to miss Yang Guofu abroad! ! ...",2
46,guofu,1.328397,100,0.4869893592017816,"I loved eating Yang Guofu in China, but I didn't expect to miss Yang Guofu abroad! ! ...",2
47,want,1.302043,61,0.8119273744621661,Give u the taste u want. Food: 5 Service: … More,2
48,ve times,1.293208,86,0.627509543187916,"I've been here several times, and the service is great! Lots of USC students come here. … More",6
49,foods,1.285861,42,0.87183074918316,So many foods to choose from! Amazing restaurant Service Dine in… More,6
50,say,1.273628,19,0.7071067811865476,... great but need to change the employees. That's all i would say Food: 5… More,0
